scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 1,alg3,3.85,245044,247675,245115,245.12,3.78,3.24,7.6,59.19,27.38,5,3,0,0,59.45,987,4,1,0,938
scenario 1,alg3,3.79,245115,247720,245105,245.1,3.76,3.21,7.56,59.26,28.17,4,2,0,0,59.45,987,6,1,0,940
scenario 1,alg3,3.79,245105,247599,245246,245.25,3.77,3.24,7.6,59.37,26.33,3,0,0,0,59.47,987,9,1,0,941
scenario 1,alg3,3.81,245246,247718,245251,245.25,3.77,3.26,7.62,59.24,24.88,7,1,0,0,59.51,986,6,0,0,942
scenario 1,alg3,3.77,245251,247652,245287,245.29,3.73,3.2,7.56,59.13,25.08,11,1,0,0,59.55,984,4,0,0,941
scenario 1,alg3,3.77,245287,247697,245112,245.11,3.69,3.16,7.51,59.04,27.62,15,1,0,0,59.55,981,3,0,0,940
scenario 1,alg3,3.78,245112,247461,244868,244.87,3.72,3.18,7.54,59.13,27.09,10,1,0,0,59.48,984,4,1,0,938
scenario 1,alg3,3.8,244868,247392,244005,244.0,3.79,3.25,7.6,58.94,26.75,10,2,0,0,59.33,984,3,1,0,923
scenario 1,alg3,3.81,244005,247260,244679,244.68,3.78,3.25,7.61,59.1,26.75,6,2,0,0,59.36,988,3,1,0,928
scenario 1,alg3,3.81,244679,247833,245252,245.25,3.79,3.24,7.6,59.16,26.0,7,3,0,0,59.5,987,3,0,0,941
scenario 1,alg3,3.8,245252,247720,245396,245.4,3.78,3.25,7.61,59.19,26.0,6,3,0,0,59.49,987,4,0,0,939
scenario 1,alg3,3.86,245396,247974,245198,245.2,3.78,3.25,7.61,59.15,27.36,8,3,0,0,59.51,985,4,0,0,939
