scenario,algorithm,net_congested_level,total_allocate_bw,expected_allocated_bw,updated_allocated_bw,allocated_bw,net_latency,desired_net_latency,e2e_latency,average_fps,standard_fps,standard_8k,standard_4k,standard_2k,standard_1k,high_fps,high_8k,high_4k,high_2k,high_1k,full_8k
scenario 2,alg1,14.18,427249,430848,430848,215.42,6.45,3.25,7.61,54.83,27.7,124,2,4,176,59.73,1652,27,13,2,1646
scenario 2,alg1,15.44,430848,433896,433896,216.95,7.04,3.23,7.59,56.74,26.53,124,2,2,0,58.8,1655,25,14,178,1651
scenario 2,alg1,15.12,433896,437153,437153,218.58,6.75,3.24,7.59,56.93,28.2,107,13,1,0,58.78,1692,6,4,177,1652
scenario 2,alg1,15.47,437153,441279,441279,220.64,6.86,3.23,7.59,58.57,25.36,27,13,2,0,59.28,1776,2,4,176,1655
scenario 2,alg1,15.31,441279,447998,447998,224.0,6.66,3.26,7.62,55.75,24.94,25,14,178,0,59.5,1779,2,2,0,1692
scenario 2,alg1,17.43,447998,453525,453525,226.76,7.62,3.23,7.59,56.52,25.12,6,4,177,0,59.76,1799,13,1,0,1776
scenario 2,alg1,15.04,453525,455386,455386,227.69,6.45,3.25,7.6,57.07,29.92,2,4,176,0,59.79,1803,13,2,0,1779
scenario 2,alg1,13.16,455386,457456,411768,205.88,5.97,3.23,7.59,55.75,24.31,10,6,5,158,58.84,1597,68,153,3,1590
scenario 2,alg1,14.68,411768,414375,414375,207.19,6.91,3.24,7.6,55.22,24.94,59,3,5,157,59.03,1599,21,153,3,1596
scenario 2,alg1,14.57,414375,416591,416591,208.3,6.78,3.23,7.58,56.36,28.56,63,4,3,156,59.9,1602,15,154,3,1597
scenario 2,alg1,14.61,416591,419723,419723,209.86,6.73,3.26,7.61,55.11,25.46,68,153,3,0,58.85,1607,6,5,158,1599
scenario 2,alg1,14.38,419723,422340,422340,211.17,6.59,3.27,7.63,55.79,25.25,21,153,3,0,58.76,1658,3,5,157,1602
scenario 2,alg1,15.18,422340,426309,426309,213.15,6.95,3.28,7.64,57.06,29.65,15,154,3,0,59.64,1665,4,3,156,1607
scenario 2,alg1,15.07,426309,431793,431793,215.9,6.79,3.24,7.59,55.96,24.24,6,5,158,0,58.89,1675,153,3,0,1658
scenario 2,alg1,15.09,431793,434188,434188,217.09,6.9,3.24,7.6,56.28,25.14,3,5,157,0,59.08,1679,153,3,0,1665
scenario 2,alg1,14.92,434188,436421,415806,207.9,7.24,3.25,7.6,56.14,28.29,33,11,150,36,59.76,1575,184,6,5,1561
