city_topology,topology_radius,routing_algorithm,net_congestion,total_net_throughput,flow_e2e_latency,fow_throughput,flow_latency,route_latency,overp_net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k,full_24k
bern,0.15,flatwise,1.32,1673.12,10.42,1.67,10.36,3.28,7.08,0,0.1,107.02,0,0,0,0,0,0,894,106,106
bern,0.15,flatwise,3.96,1953.37,9.81,1.95,7.68,2.76,4.92,0,0.1,117.75,0,0,0,0,0,0,894,106,106
bern,0.15,flatwise,1.32,1365.1,10.06,1.37,12.34,2.96,9.38,10,0.14,95.77,0,0,773,93,0,2,119,13,13
bern,0.15,flatwise,1.32,1707.5,9.96,1.71,10.43,2.85,7.58,0,0.09,106.64,0,0,13,105,0,0,776,106,13
bern,0.15,flatwise,2.64,2024.99,10.0,2.02,7.96,2.91,5.05,0,0.11,118.76,0,0,5,117,0,0,772,106,13
bern,0.15,flatwise,2.64,2335.61,9.89,2.34,5.46,2.79,2.67,3,0.1,131.59,0,0,2,119,0,0,773,106,103
bern,0.15,flatwise,6.6,2620.83,10.43,2.62,9.06,3.29,5.77,0,0.12,133.8,0,0,0,770,0,0,20,210,106
bern,0.15,flatwise,5.28,2924.3,10.01,2.92,8.23,2.93,5.3,1,0.11,147.35,0,0,0,770,0,0,8,222,105
bern,0.15,flatwise,11.88,3222.19,10.06,3.22,7.38,3.03,4.35,6,0.14,161.62,0,0,0,772,0,0,3,225,200
bern,0.15,flatwise,10.56,3480.42,10.06,3.48,6.63,2.94,3.69,4,0.15,173.78,0,0,0,49,0,0,1,950,212
bern,0.15,flatwise,10.56,3763.08,10.15,3.76,5.85,3.06,2.79,1,0.13,183.41,0,0,0,15,0,0,1,984,221
bern,0.15,flatwise,1.32,3616.56,10.14,3.62,6.22,3.01,3.21,13,0.14,177.92,0,0,0,52,0,0,9,939,182
bern,0.15,flatwise,0.0,3051.61,10.07,3.05,7.77,3.02,4.75,27,0.17,153.89,0,0,8,528,0,2,30,432,46
bern,0.15,flatwise,9.24,3356.52,10.17,3.36,6.94,3.0,3.94,9,0.18,167.42,0,0,8,335,0,1,19,637,183
bern,0.15,flatwise,2.64,3193.79,10.03,3.19,7.34,2.86,4.48,11,0.14,160.25,0,0,8,382,0,1,34,575,76
bern,0.15,flatwise,7.92,3503.74,9.93,3.5,6.5,2.8,3.7,3,0.11,173.87,0,0,5,215,0,1,20,759,278
bern,0.15,flatwise,1.32,2995.17,9.88,3.0,7.73,2.71,5.02,13,0.14,152.15,0,0,7,552,0,2,67,372,69
bern,0.15,flatwise,7.92,3304.41,10.15,3.3,7.05,3.01,4.04,7,0.13,165.05,0,0,6,309,1,0,25,659,132
bern,0.15,flatwise,1.32,2414.49,10.14,2.41,8.47,3.01,5.46,18,0.16,129.34,0,0,26,568,1,6,280,119,32
bern,0.15,flatwise,9.24,2732.3,10.19,2.73,8.08,3.04,5.04,1,0.12,141.68,0,1,14,698,0,3,154,130,90
bern,0.15,flatwise,3.96,3033.19,10.02,3.03,7.63,2.9,4.73,2,0.11,154.22,0,1,9,482,0,1,66,441,117
bern,0.15,flatwise,3.96,3027.22,10.07,3.03,7.66,2.96,4.7,5,0.14,153.28,0,1,9,464,0,1,64,461,6
bern,0.15,flatwise,6.6,3316.22,9.93,3.32,6.99,2.73,4.26,6,0.12,165.53,0,1,6,298,0,0,33,662,141
bern,0.15,flatwise,6.6,3125.7,10.11,3.13,7.46,3.03,4.43,16,0.16,157.37,0,1,7,385,0,1,52,554,36
bern,0.15,flatwise,3.96,2369.79,10.09,2.37,8.55,3.01,5.54,11,0.16,128.12,0,1,43,535,1,5,304,111,30
